MLS#,Province,Region,City,Subdivision,Street,Address,Property Type,Date Listed,Price,Beds,Baths,Total_Sqft,Bedroom_Sqm,Dining_Sqm,Living_Sqm,Kitchen_Sqm,Cooling,Heating,Parking,Basement,Amenities,Features,Exterior Features,Street_City,LatLong,Latitude,Longitude
W5499548,ON,Toronto,Toronto,,9 Mabelle Ave,"3119 - 9 Mabelle Ave, Toronto, ON",Condo,2022-02-12,669000,2 bed,2 bath,,8.37,10.85,10.85,5.89,Central air conditioning,Forced air,,,,Balcony,,"9 Mabelle Ave , Toronto","(43.6455866, -79.5274171)",43.6455866,-79.5274171
W5499797,ON,Toronto,Toronto,,1100 Briar Hill Ave,"105 - 1100 Briar Hill Ave, Toronto, ON",Townhome,2022-02-12,750000,3 bed,2 bath,,8.2,24.64,24.64,24.64,Central air conditioning,Forced air,Underground,,,,,"1100 Briar Hill Ave , Toronto","(43.7024807, -79.4518982)",43.7024807,-79.4518982
C5499710,ON,Toronto,Toronto,,38 Cameron St,"515 - 38 Cameron St, Toronto, ON",Condo,2022-02-12,649000,2 bed,2 bath,,0.0,0.0,0.0,0.0,Central air conditioning,Forced air,Visitor parking,,,Balcony,,"38 Cameron St , Toronto","(43.64965575, -79.39822894926218)",43.64965575,-79.39822894926218
W5499772,ON,Toronto,Toronto,,441 Jane St,"204 - 441 Jane St, Toronto, ON",Townhome,2022-02-12,850000,2 bed,2 bath,,10.47,8.65,13.06,8.15,Central air conditioning,Forced air,Underground,,,,,"441 Jane St , Toronto","(43.65006089515126, -79.48458821263986)",43.65006089515126,-79.48458821263986
W5499855,ON,Toronto,Toronto,,103 The Queensway,"911 - 103 The Queensway, Toronto, ON",Condo,2022-02-12,499900,1 bed,1 bath,,0.0,13.02,13.02,7.08,Central air conditioning,Forced air,Underground,,,Balcony,,"103 The Queensway , Toronto","(43.636290849999995, -79.47037418762405)",43.636290849999995,-79.47037418762405
C5499564,ON,Toronto,Toronto,,28 Ted Rogers Way,"2303 - 28 Ted Rogers Way, Toronto, ON",Condo,2022-02-12,599000,1 bed,1 bath,,11.1,19.71,19.71,5.47,Central air conditioning,,Visitor parking,,,Balcony,,"28 Ted Rogers Way , Toronto","(43.67062675, -79.38056705348306)",43.67062675,-79.38056705348306
C5499617,ON,Toronto,Toronto,,51 Lower Simcoe St,"321 - 51 Lower Simcoe St, Toronto, ON",Condo,2022-02-12,648888,2 bed,1 bath,,0.0,13.26,13.26,0.0,Central air conditioning,Forced air,Underground,,,Balcony,,"51 Lower Simcoe St , Toronto","(43.642121, -79.3836323)",43.642121,-79.3836323
E5499627,ON,Toronto,Toronto,,61 Queensdale Ave,"61 Queensdale Ave, Toronto, ON",Single Family,2022-02-12,999000,3 bed,n/a bath,,0.0,0.0,0.0,0.0,,Forced air,,"N/A (Unfinished), Unfinished",,,,"61 Queensdale Ave , Toronto","(43.686681379166664, -79.33149579583333)",43.686681379166664,-79.33149579583333
C5499678,ON,Toronto,Toronto,,251 Jarvis St,"2512 - 251 Jarvis St, Toronto, ON",Condo,2022-02-12,579900,2 bed,1 bath,,0.0,21.2,21.2,21.2,Central air conditioning,Forced air,,,,Balcony,,"251 Jarvis St , Toronto","(43.657546234042556, -79.37461538297872)",43.657546234042556,-79.37461538297872
E5499741,ON,Toronto,Toronto,,91 Cadorna Ave,"91 Cadorna Ave, Toronto, ON",Single Family,2022-02-12,2499999,6 bed,6 bath,,9.45,16.89,22.66,13.34,Central air conditioning,Forced air,Detached garage,"N/A (Finished), Finished",,,,"91 Cadorna Ave , Toronto","(43.693267909090906, -79.34021667272727)",43.693267909090906,-79.34021667272727
